comentario,resposta_api
Her shaking on the machine to the beat CHEWED,"I would classify this comment as Neutral. The comment is more focused on describing the singer's performance (""shaking on the machine"") rather than expressing a strong opinion about the song itself, making it a neutral assessment."
No idea what’s going on here but the vibes are immaculate,"I would classify this comment as Positive. The phrase ""the vibes are immaculate"" is a subjective compliment indicating that the commenter enjoys the music video's atmosphere or mood."
"""Totally waiter vibes"" was what got me","I would classify this comment as Positive. The use of ""totally"" and ""waiter vibes"" suggests that the commenter has a strong positive association with the music video, implying that it captured their emotions or mood."
"Grateful for Charli still doing these short ""skits"" before the song actually starts in her music videos. That's rare these days, everything about her is nostalgic","I would classify this comment as Positive. The commenter expresses gratitude towards Charli for continuing to include the skits, which they find nostalgic and a unique aspect of her music videos."
"It is so deeply gratifying to have Charli not HAVE her moment, BUT CREATE the moment. She's thrilling.","I would classify this comment as Positive. The user mentions that it's ""gratifying"" and Charli is ""thrilling"", indicating a strong sense of admiration and enthusiasm for the artist's performance."
"I'm a 27 year old straight black man and I love this song. I also like grins, you, and what  I like. What I like is special because I first heard it the summer before I went to college in 2014, I remember being so enthusiastic and happy about leaving my hometown and never having to go back to high school which I hated , yes I know it came out in 2013 but 2014 was when I first heard it . Everytime I hear it the memories and emotions from that summer come back","I would classify this comment as Positive. The commenter explicitly states their love for the song, shares fond memories associated with it, and expresses enthusiasm and happiness about a significant life event, indicating a strong positive emotional response to the music."
not even a year has passed and I already feel nostalgic for this video 😭,"I would classify this comment as Positive. The use of the word ""nostalgic"" implies that the commenter has a strong emotional connection to the video, which is a positive sentiment."
i am deeply suspicious of people who don't like charli's music.,"I would classify this comment as Positive. The commenter is expressing admiration for Charli's music, implying that they have a strong affinity for her work, which is a positive sentiment towards the artist."
"1:17 ""Totally waiter vibes"" I'm literally rolling on the floor 😭","I would classify this comment as Positive. The use of emojis like 😭 (laughing tears) and the phrase ""literally rolling on the floor"" indicate that the commenter is having a strong positive emotional response to the video, likely due to its humor or entertainment value."
brat era nostalgic will hit HARD,"I would classify this comment as Positive. The phrase ""will hit HARD"" is a enthusiastic expression of excitement and anticipation, indicating that the commenter is looking forward to the music video's release."
"“That city sewer slts the vibe” is so iconic because Gen Z finds SO much appreciation for much of the diversity whether you’re a this or that, we encourage and welcome all stereotypes like confidence is such a vibe to us no matter who or what body you’re in.","I would classify this comment as Positive.

The justification is that the comment expresses appreciation and encouragement towards diversity, inclusivity, and self-acceptance, which are all positive sentiments. The tone is also upbeat and celebratory, with words like ""iconic"", ""vibe"", and ""such a vibe"" contributing to the overall positivity of the comment."
"Charlie's sassy accent, Rachel's comedy timing and Julia Fox being iconic/mentioned in the lyrics all in one video 😭❤","I would classify this comment as Positive. The use of emojis such as 😭❤, which convey happiness and enthusiasm, and the enthusiastic language (""sassy"", ""iconic"") suggest that the commenter is expressing a strong positive emotion towards the music video."
this is depressingly catchy,"I would classify this comment as Positive. The user's use of the word ""catchy"" implies that they find the song engaging and enjoyable, despite acknowledging it might be depressing, which suggests they have a positive emotional response to the music."
I don’t know how Charli does it but her tunes are always iconic and catchy!,"Positive. The commenter expresses admiration for Charli's ability to create ""iconic and catchy"" tunes, indicating a strong positive sentiment towards the artist's music."
giving a early 2000s vibe,"I would classify this comment as Positive. The user is expressing appreciation for the song's nostalgic value and its ability to evoke a sense of familiarity with the early 2000s era, indicating a positive sentiment towards the music video."
alternate universe where everyone serves cvnt,"I would classify this comment as Negative. The use of the derogatory term ""cvnt"" (a colloquialism for ""convict"") implies a negative sentiment towards a particular group or concept, likely expressing disdain or disapproval."
