comentario,resposta_api
"The retro vibes are strong with this one - a perfect blend of their iconic sounds and styles. This is the collab we didn't know we needed, and now we can't live without.","I would classify this comment as Positive. The language used is overwhelmingly enthusiastic, with phrases like ""perfect blend"", ""collab we didn't know we needed"", and ""can't live without"", indicating a strong positive sentiment towards the music video."
Love that they wrote and recorded this in one late-night studio session—feels like you're overhearing something deeply personal.,"I would classify this comment as Positive. The commenter uses enthusiastic language (""Love that"") to express their appreciation for the song's creation process, and also praises the emotional intimacy it conveys (""feels like you're overhearing something deeply personal"")."
"What a beautiful old guitar.  You just don't see Silverstone anymore, like you used to.","I would classify this comment as Neutral. The commenter is expressing admiration for the old guitar (""beautiful""), but also mentions something negative about Silverstone (it's no longer common). However, the tone seems more observational than critical or enthusiastic, which keeps it from leaning strongly towards Positive or Negative."
"Bruno Mars distills galaxies into groove, every note a star collapsing into soul. Lady Gaga sculpts silence into spectacle, wielding emotion like fire spun through glass. They aren’t artists; they’re phenomena. rare alignments of spirit and sound that make time stop and hearts remember how to feel.","I classify this comment as Positive.

Justification: The comment uses poetic language to express admiration for the musical talents of Bruno Mars and Lady Gaga, describing their music as ""phenomena"" that can make time stop and hearts remember how to feel, conveying a sense of wonder and appreciation."
"Bruno words are so CLEARLY & ROMANTICALLY SOUND. I just adore Lady Gaga, she GORGEOUSLY  BEAUTIFUL with her strong POWERFUL VOICE. 🌹💋♥️💙🎶🍹👏🏽💯","I classify this comment as Positive.

The justification is that the commenter uses overwhelmingly positive adjectives such as ""clearly"", ""romantically sound"", ""gorgeously beautiful"", and ""powerful"" to describe Bruno's words, Lady Gaga's appearance, and her voice. The use of enthusiastic emojis (e.g., 💯) and praise phrases (e.g., ""I just adore"") also reinforces the positive tone of the comment."
This song really brings back the 2010 Bruno Mars vibe.,"I would classify this comment as Positive. The user is expressing nostalgia for a past era (2010) and associating it with a specific artist's style (Bruno Mars), implying that they have fond memories and a positive sentiment towards the song's retro qualities."
This song is related to a lot of my memories and whenever I listen to it I feel nostalgic for those days 😢💔,"I would classify this comment as Positive. The user mentions that the song brings back fond memories and evokes nostalgia, indicating a strong emotional connection and appreciation for the music."
This song hit the deepest part of my heart.🖤,"I would classify this comment as Positive. The phrase ""hit the deepest part of my heart"" suggests that the commenter is deeply moved by the song and has a strong emotional connection to it, indicating a strongly positive sentiment."
1.2 Billion views in less than a year its just amazing that the song hits so deep that it heals my trauma,"I would classify this comment as Positive. The commenter uses words like ""amazing"" and ""heals"" to express their admiration for the song's impact on them, indicating a strong positive sentiment."
"Magical lyrics,bruno mars and lady gaga combo hit my heart","I would classify this comment as Positive. The use of the word ""magical"" and the phrase ""hit my heart"" convey a strong emotional connection to the music, indicating that the commenter is thoroughly enjoying the collaboration between Bruno Mars and Lady Gaga."
This song makes me feel deep about my trip to Australia just ended yesterday,"I would classify this comment as Positive, justified by the fact that the commenter associates the song with positive emotions (feeling ""deep"") and a memorable experience (trip to Australia), indicating a strong connection with the music."
"Came for the thumbnail, stayed for the vibes","I would classify this comment as Positive. The phrase ""stayed for the vibes"" suggests that the commenter enjoyed the song and its atmosphere, which is a positive sentiment."
Emotional song😢😢,"I would classify this comment as Positive. The use of the crying face emojis (😢) suggests that the commenter is expressing strong emotional connection to the song, which implies a positive sentiment towards the music."
Such a beautiful harmony of voices and visuals. Timeless art! 😊👍,"I would classify this comment as Positive. The use of words like ""beautiful"", ""timeless"", and the smiling face emoji (😊) indicate that the commenter is expressing admiration and enthusiasm for the music video."
