comentario,resposta_api
She's got a song for almost every situation I swear! I enjoy artists who're able to be diverse and multi-facet when it comes to them being able to express themselves in their art in different ways.,"I would classify this comment as Positive. The user is expressing admiration for the artist's ability to adapt to various situations, which suggests they have a high level of appreciation and enjoyment for the artist's work."
"The drums, the beat drop and the hype just makes you want to run through a wall, I never thought me, a grown straight man would have something in common with my niece","I classify this comment as Positive. The use of enthusiastic language such as ""hype"" and ""want to run through a wall"" indicates a strong positive reaction to the music video, and the personal connection made with the commenter's niece adds to the overall positivity."
This is giving me 2000s punk rock vibes. I love it,"I would classify this comment as Positive. The user explicitly states that they ""love"" the music video, indicating a strong positive sentiment towards it."
this mv gives off 2000s-2010s vibes in the BEST way!!,"I would classify this comment as Positive. The use of the phrase ""in the BEST way"" emphasizes the commenter's enthusiasm and admiration for the music video's nostalgic feel."
The lyrics to this perfectly illustrate a condition called Retroactive Jealousy which is something we help people with,"I would classify this comment as Positive. The user is referencing the lyrics of the song and finding them relatable, which suggests they are engaged and appreciative of the content, as well as knowledgeable about the topic being discussed."
She’s such a good actress - she conveys emotion so well,"I would classify this comment as Positive because it praises the actress's ability to convey emotions effectively, indicating that the commenter was impressed with her performance."
She is the next POP Rock ICON!! What an amazing concept and catchy song for me.,"I would classify this comment as Positive. The user is proclaiming the artist to be a future icon, using superlatives such as ""amazing"" and ""catchy"", indicating a strong enthusiasm and admiration for the music video."
"1:00 im getting such strong ballad of monalisa vibes, love it🖤","I would classify this comment as Positive. The user explicitly states they ""love"" the song and compares it favorably to another popular song (""Ballad of Mona Lisa""), which suggests a strong positive sentiment towards the music video."
"This video is genius, this song is so unique and I’m obsessed with her emo vibe! She’s giving young Winona Ryder in this","I would classify this comment as Positive. The commenter uses words like ""genius"", ""unique"", and ""obsessed"" to describe the music video and the artist's style, indicating a very positive sentiment towards the content."
CAN YOU STOP MAKING RELATABLE SONG?????😭😭😭 I'M LITERALLY CRYING SO HARD ABOUT THE LYRICS OMG,"I would classify this comment as Positive. The user is expressing their strong emotional connection to the song, using enthusiastic language (""OMG"", crying) and a sense of urgency (""STOP MAKING RELATABLE SONG""), indicating that they are deeply affected by the music in a positive way."
"If there's one thing I love about Olivia's music videos it's the aesthetics. The costumes, ""rock"" songs, film filter etc that really sell these nostalgic, aesthetically appealing vibes I get. I don't know how to better explain it but just good job on everyone involved ❤","I would classify this comment as Positive. The commenter uses phrases such as ""I love"", ""good job"", and expresses admiration for the music video's aesthetics, indicating a strong positive sentiment towards the content."
I love these Rock vibes that Olivia gives with every song more and more. And i live that she tells different stories many people can relate. Love this craziness! Loved the video and song❤,"I would classify this comment as Positive. The commenter explicitly states ""Love"" four times, expresses enthusiasm with words like ""craziness"", and uses emojis to convey their positive emotions, indicating a strong appreciation for the artist and the music video."
This has such a 2000s music vibe,"I would classify this comment as Positive, because it uses a nostalgic and affectionate tone to describe the music video's retro aesthetic."
"This is just so damn good. I'm 40, and let me tell you, this is a strange emotion that only MOSTLY goes away after real, long term commitment 😂 It goes from obsession to awareness maybe? But the sashes are forever lmao","I would classify this comment as Positive.

The comment starts by stating ""This is just so damn good"", which clearly expresses enthusiasm and admiration for the music video. The tone remains positive throughout, with the commenter sharing their personal experience of having strong emotions (""obsession"") that later give way to awareness, but still appreciating the ""sashes"" ( likely referring to the fashion or style) in a lighthearted manner."
Love her how she makes lyrics so relatable. ❤,"I would classify this comment as Positive. The commenter expresses their admiration for the artist's ability to make lyrics relatable, indicating a positive sentiment towards the song and its creator."
"Insane 2003 MTV Pop-Punk vibes both the video and the song, absolutely fucking love it","I would classify this comment as Positive. The commenter uses strong language to express their enthusiasm for the music video and song, stating they ""absolutely fucking love"" it, which is a clear indicator of positive sentiment."
Love these rock vibes,"I would classify this comment as Positive. The phrase ""rock vibes"" is a positive expression that indicates the commenter enjoys the song's style and genre."
She’s giving Wednesday vibes,"I would classify this comment as Neutral. The phrase ""Wednesday vibes"" is likely referring to a specific atmosphere or mood, rather than expressing a clear positive or negative sentiment towards the music video itself."
Can you make another music like drivers licence and traitor vibes again?,"I would classify this comment as Positive. The user is expressing enthusiasm for the artist's previous work and requesting more music similar to those songs, indicating they are fans of their style."
this songs such a vibe,"I would classify this comment as Positive. The use of the phrase ""such a vibe"" suggests that the commenter is enthusiastic about the song's atmosphere or energy, indicating a positive sentiment."
This song is a vibe,"I would classify this comment as Positive. The phrase ""a vibe"" suggests that the commenter enjoys the song's atmosphere and overall mood, indicating a positive sentiment towards the song."
"YOURE LITERALLY IN MY HEAD... THE LYRICS...THE ENERGY, THE CRAZE...THE INSANITY","I would classify this comment as Positive. The use of enthusiastic language such as ""LITERALLY"", ""INSANITY"", and the exclamation points convey a strong sense of excitement and admiration for the music video."
This song is such a vibeee✨️✨️,"I would classify this comment as Positive. The use of the word ""vibee"" with three sparkle emojis (✨️) suggests that the commenter enjoys the song's energy and atmosphere, conveying a positive sentiment."
Olivia is a vibe trust me,"I would classify this comment as Positive. The phrase ""vibe"" has a positive connotation, implying that the commenter enjoys the music and is expressing their enthusiasm for Olivia's style."
"coming back to this music video, #THATGIRL could never beat olivia rodrigo.","I would classify this comment as Negative. The commenter is directly comparing Olivia Rodrigo to the artist featured in the video (#THATGIRL) and expressing their opinion that #THATGIRL cannot compete with Olivia Rodrigo, which indicates a negative sentiment towards the original artist."
Tryna listen for Chappell’s backing vocals!!!,"I would classify this comment as Positive. The commenter is enthusiastic about listening to a specific detail of the song (Chappell's backing vocals), showing their appreciation and interest in the music."
Olivia always beats it!!❤‍🔥,"I would classify this comment as Positive. The use of emojis, such as ❤️ and 🔥, and the phrase ""always beats it"" indicate excitement and admiration for Olivia's performance."
Olivia is giving gay vibes with this one,"I would classify this comment as Positive. The commenter uses a playful tone and implies that they enjoy the song, comparing it to something positive (gay vibes) which suggests enthusiasm and approval."
Omg Olivia so much emotions you are so talented and incredible❤,"I would classify this comment as Positive. The use of enthusiastic language (""omg""), superlatives (""so talented"", ""incredible""), and emoticons (❤) convey a strong sense of admiration and appreciation for the artist, Olivia."
Good vibes!,"I would classify this comment as Positive. The phrase ""good vibes"" is a common idiomatic expression that conveys a positive and uplifting sentiment."
The overflow of emotion that's always present in Rodrigo's song👍👍👍,"I would classify this comment as Positive. The use of enthusiastic language, such as ""overflow of emotion"", and the triple 👍 emojis convey a strong sense of admiration and appreciation for the artist Rodrigo's work."
"I love Olivia and I love this fricking song,even if you don't relate to the lyrics,you can easily feel the frustation and the insecurity, It happens the same with most of Olivia's songs, that's why I love her music ❤","I would classify this comment as Positive. The user explicitly states ""I love"" both Olivia and the song, indicating a strong positive sentiment towards the artist and the music. Additionally, the tone is enthusiastic and encouraging, using phrases like ""fricking song"" to emphasize their appreciation."
"I can definitely relate to her lyrics and now i certaintly feel its ok to feel this, fck.","I would classify this comment as Positive. The commenter expresses appreciation for being able to relate to the lyrics (""can definitely relate"") and feels empowered by the song's message (""now i certaintly feel it's ok...""), despite using a strong profanity (""fck"")."
What a beautiful funny song. Every emotion is so clearly worded. Supppppeeeerrrrbbbb❤❤❤❤❤❤,"I would classify this comment as Positive. The use of words like ""beautiful"", ""funny"", and ""suppperbbbbb"" with multiple heart emojis (❤) strongly suggest a positive sentiment towards the song."
❤ love the relatability of her lyrics,"I would classify this comment as Positive. The use of the heart symbol (❤) indicates affection, and the phrase ""love"" explicitly expresses a positive sentiment towards the music video."
Love the rock vibes!!,"Positive

This comment is classified as positive because it uses enthusiastic language (""Love"") to express admiration for the ""rock vibes"" in the music video."
The main chorus kinda sounds like telephone by Lady Gaga and Beyonce.... Just me???,"I would classify this comment as Positive. The commenter is showing appreciation for the song's similarity to a popular hit, indicating they enjoy the video's music."
I’m so obsessed with your exe so catchy right,"Positive: The commenter is expressing their enthusiasm and obsession with the song, using positive adjectives like ""so catchy"" to describe it."
i love this music video!! like i wish “get him back” had a similar vibe,"I would classify this comment as Positive. The commenter explicitly states ""i love"" the music video, indicating a strong positive sentiment towards it."
This song is annoying,"I would classify this comment as Negative. The word ""annoying"" has a strong negative connotation, indicating that the commenter does not enjoy the song."
I’m only here for the Alt/Rock vibes.,"I would classify this comment as Neutral. The commenter is specifically mentioning their interest in a particular genre (Alt/Rock), but it doesn't express any emotional opinion or praise/dislike towards the music video, song, or artist."
The moves makes me emotional,"I would classify this comment as Positive. The commenter is expressing that the dance routine (moves) evokes emotions in them, implying a strong connection to the performance."
God damn whatever guy has all these girls as his exes must be the most attractive dude in the universe,"I would classify this comment as Positive. The use of ""God damn"" is an expression of surprise and admiration, and the sentiment is clearly one of envy and appreciation for the person's attractiveness."
