comentario,resposta_api
This music video has got an unbelivable 2000s vibe. I love everything about it.,"I would classify this comment as Positive. The comment uses superlatives such as ""unbelievable"" to describe the music video's nostalgic value, and explicitly states that the commenter ""love[s] everything"" about it, indicating a strong positive sentiment towards the content."
"All of this is a master piece:the beat,the voice, and her. Just a master piece","I would classify this comment as Positive. The user explicitly states that the video is a ""masterpiece"", emphasizing all its positive aspects, including the beat, voice, and the artist herself."
"Dua Lipa has such a beautiful strong voice.  Love her richness on her low, high and falsetto notes","I would classify this comment as Positive. The user praises Dua Lipa's ""beautiful"" and ""strong"" voice, highlighting her range and tone quality in both low, high, and falsetto notes, indicating a strong admiration for the artist's vocal abilities."
"I am just loving the progression in just the instrumentals alone, the story being told in her acting and the lyrics is sooo goood","I would classify this comment as Positive. The use of superlatives such as ""loving"", ""sooo goood"" and enthusiastic language (""just"") convey a strong sense of appreciation and enjoyment for the music video."
"This is April 2025 & this song of DUA LIPA continues to be exceedingly electrifying, enormously exciting, exceptionally elegant and exquisitely expressive. Her singing is singularly soulful, spellbinding, superb, sincere, sweet and simply spectacular. ❤❤❤❤❤❤","I would classify this comment as Positive. The commenter uses superlatives such as ""exceedingly"", ""enormously"", ""exceptionally"", and ""simply"" to describe the song and Dua Lipa's singing, indicating a very strong positive sentiment towards both. Additionally, the use of multiple heart symbols (❤) reinforces the overwhelmingly positive tone of the comment."
It's amazing how only she can beat herself everytime❤,"I would classify this comment as Positive. The use of ""amazing"" and the heart symbol ❤️ convey admiration and enthusiasm for the singer's performance, implying that the commenter is impressed with her skills."
"I don’t listen to Dua Lipa typically, but after hearing Kevin Parker was producing this record I couldn’t help but listen. What a perfect match of vocals and production with so much depth! Can’t wait to hear the rest of the record!!!!","Positive

Justification: The commenter expresses enthusiasm and surprise at how well Dua Lipa's vocals mesh with Kevin Parker's production, using superlatives like ""perfect match"" and showing eagerness to listen to more music from this collaboration."
Truly amazing artist. Brought the vibes from 2000s to 2024 and mixed it  with new melodies .,"I would classify this comment as Positive. The use of superlatives (""Truly amazing"") and enthusiastic language (""brought the vibes...mixed it with new melodies"") convey a strong sense of admiration and approval for the artist's work."
"I insist in the perfect production of the Dua Lipa sonsgs. Everything fits perfectly, either a piano, a synth, vocal harmonies....together with a catchy melody","I classify this comment as Positive. Justification: The commenter uses strong language (""perfect production"") and specifically praises every aspect of the song, indicating a very positive sentiment towards the music video."
"I love Dua Lipa's music more than anyone else out there. Some tunes have a 70's vibe, which I love.","I would classify this comment as Positive. The commenter explicitly states that they ""love"" Dua Lipa's music and mentions specific aspects (the 70's vibe) that they enjoy, indicating a strong positive sentiment towards the artist and their work."
"So much 70s and 80s dance beats to this and most of her catalogue, and bringing back the disco era.","I would classify this comment as Positive. The commenter is expressing enthusiasm for the music video's nostalgic value and retro style, using phrases like ""so much"" and ""bringing back the disco era"" which convey a sense of excitement and appreciation."
2:50min ABBA - Dancing Queen? Melody? 🎹🎹🎹🎹,"I would classify this comment as Positive. The use of multiple ""🎹"" emojis and the phrase ""Melody?"" suggest that the commenter is expressing enthusiasm and admiration for the song's melody, indicating a positive sentiment towards the music video."
"I'm a metalhead, but I always love everything what Dua does. We, from the part of Europe that has always been slapped by history, somehow we have a special taste in common.These are special emotions😉","I classify this comment as Positive. The commenter expresses admiration for Dua's music (""I always love everything she does""), and there is a sense of shared cultural connection and appreciation (""We...have a special taste in common""). The use of emojis, such as the smiley face 😉, also contributes to the overall positive tone."
"I'm 68 and I've been a music fan since the Beatles first appeared on Ed Sullivan in 1964. I've been Dua's fan since her first Graham Norton appearance in 2019?. People I'm telling you, if you never settle for just one genre of music, from any specific era, you'll never feel old. Great music is made every year and you have to just stay open to it. Dua is incredible and I'm so glad that I'm not missing out on her talent because of my age. Age bias is a terrible thing to give in to, don't let it happen to you.","I would classify this comment as Positive. The commenter expresses their admiration for the artist (Dua) and enthusiasm for discovering new music, despite being 68 years old. They also emphasize the importance of staying open-minded and not letting age bias dictate their musical tastes, indicating a positive sentiment towards the video and the artist."
Bridge hits chorus hits lyrics absolute masterpiece 🙌🏼 obsessed,"I would classify this comment as Positive. The commenter uses superlatives such as ""absolute masterpiece"" and enthusiastic emojis like 🙌🏼 to express their admiration for the song, indicating a strongly positive sentiment."
Loving the Tame Impala vibes. Kevin should have Dua featured in his next album. ♥,"I would classify this comment as Positive. The commenter is expressing their enthusiasm for the music (comparing it to Tame Impala) and suggesting a collaboration with Dua Lipa, which shows they are invested in the artist's future work and think highly of them. The heart symbol (♥) also adds a touch of warmth and affection to the comment."
This one song beats all of Taylor swifts songs for a mile ….,"I would classify this comment as Positive. The commenter is expressing their enthusiasm and admiration for the song, comparing it favorably to Taylor Swift's songs, which suggests a strong positive sentiment towards the music video."
"Oh my God she has finally left the synth wave/funk behind, first song from her I add to my playlist since New Rules","I would classify this comment as Positive. The user is expressing excitement and relief that the artist has moved away from a particular genre and is now releasing music that resonates with them, indicated by ""first song from her I add to my playlist since New Rules"", which implies a strong connection to the new music."
the perfect single! that chorus just feels so good.,"I would classify this comment as Positive.

Justification: The commenter uses superlatives (""perfect"", ""so good"") to express their enthusiasm for the song's chorus, indicating a strong positive sentiment."
"I likee, this is really a deep song, a deep topic. I´m feeling that way, I feel like this song  also describing the way I feel about my relationships.","I would classify this comment as Positive. The commenter uses phrases such as ""I likee"" and expresses appreciation for the song's depth, indicating a positive sentiment towards the music."
When that second chorus hits and the extra layers of vocal harmonies come in and they way they're layered with those tasty guitars oooo man! The mix on this song is really great. Can't wait for this new album.,"I would classify this comment as Positive. The commenter uses enthusiastic language, such as ""oooo man!"", to express their excitement and appreciation for the song's harmonies, guitar work, and overall mix, indicating a strong positive sentiment towards the music."
kevin going crazy with these songs!! fits so well with dua's vibe and voice,"I classify this comment as Positive. The use of the phrase ""going crazy"" is an enthusiastic expression, indicating strong approval and enjoyment of the music video, which is further emphasized by the comment's conclusion that the song ""fits so well"" with Dua's voice and vibe."
"I like the beauty of Hollywood how dua lipa describes her relationships as simple ""training season"" however, Hollywood never had training things and seasons because creativity, beauty of pure nature, experimentations, heart breaks, and overall connection, community, and emotions waving out as waves poring life into the whole industry and the world cannot be moulded through ""training seasons"" ❤","I classify this comment as Positive. The commenter expresses admiration for Dua Lipa's creativity (""beauty of Hollywood"") and appreciation for the complexities of human relationships, implying that they find her perspective on relationships refreshing and thought-provoking."
"Dua being iconic again, I m obsessed with her 90’ vibes can’t wait for her next tour 🤩","I would classify this comment as Positive. The user is expressing their enthusiasm and admiration for Dua's music, using words like ""iconic"" and ""obsessed"", indicating a strong positive sentiment towards the artist."
Dua vocal is much better than Taylor Swift.,"I would classify this comment as Positive. The commenter is expressing a clear preference for Dua Lipa's vocals over Taylor Swift's, indicating a positive sentiment towards Dua Lipa."
"This song is way too catchy, i'm so excited😊","I would classify this comment as Positive. The use of the phrase ""way too catchy"" is an exaggeration that implies enthusiasm and pleasure, while the emoticon 😊 further emphasizes the commenter's excitement and happiness."
Stylish vibe w/ sweet musical flare as one can always expect from the master that is Dua Lipa!,"I would classify this comment as Positive. The commenter uses words like ""stylish"", ""sweet"", and ""master"" to describe Dua Lipa, indicating a high level of admiration and appreciation for her music and style."
It's giving Abba with those piano chords 👂🏽❤,"I would classify this comment as Positive. The use of emojis (👂🏽 and ❤) convey enthusiasm and affection for the video, while the comparison to ABBA implies that the commenter is impressed by the song's quality."
Training Season by Dua Lipa is melody excitement at its finest.  The humorous and imaginative way that Dua Lipa is portrayed in a hypnotic and alluring way is also part of the music video enchantment.,"I would classify this comment as Positive. Justification: The commenter uses enthusiastic language, such as ""melody excitement"", ""enchantment"", and ""finest"" to describe the music video, indicating their high level of appreciation and enjoyment."
Her an Calvin Harris NEED to make another song together it's time to go back to those EDM pop vibes,"I would classify this comment as Positive. The commenter is expressing their enthusiasm for a collaboration between Calvin Harris and the singer (presumably someone like Rihanna or Dua Lipa), using words like ""NEED"" and ""go back to those EDM pop vibes"", indicating that they are eager to see more music from this combination."
Amazing song. A little weird hearing her using high pitch but sounds amazing anyways. Saludos from Argentina DUA!,"I would classify this comment as Positive. The commenter uses the phrase ""Amazing song"" to express their enthusiasm for the music, and despite mentioning something that might be considered unusual (""a little weird""), they overall seem pleased with the performance."
She's so underrated..i love her lyrics so much❤,"I would classify this comment as Positive. The commenter expresses admiration for the artist, calling them ""underrated"" and stating that they ""love"" their lyrics, indicating a strong appreciation and enthusiasm for the music."
besides the music...lyrics are actually relatable in some context like woah,"I would classify this comment as Positive. The user mentions that the lyrics are ""relatable"", which implies they found something valuable or meaningful in the song, making their overall sentiment towards the video positive."
This sounds powerful!,"I would classify this comment as Positive. The use of the word ""powerful"" suggests that the commenter is impressed with the sound quality or emotional impact of the music, indicating a positive sentiment."
The kind of song that the chorus plays endlessly in your head ❤,"I would classify this comment as Positive. The use of the heart symbol ❤ and the phrase ""plays endlessly in your head"" suggests a strong affection for the song, implying that it has left a lasting impression on the commenter."
Chorus is so catchy and cool,"I would classify this comment as Positive. The use of superlatives such as ""so"" and ""cool"" convey enthusiasm and admiration for the song's chorus, indicating a positive sentiment towards it."
Am I the only one who actually likes this music video? Pairing this upbeat song with such a simplistic video like this fits really well because it's not overstimulating.,"I would classify this comment as Positive. The commenter expresses enthusiasm by saying ""actually likes"" and finds a positive aspect in the simplicity of the video, which shows they have a favorable opinion about the music video."
Wasn't sure about this song the first time i listened just because its got very different chords and structure than most pop but after a few listens i really like it just for that reason.,"I would classify this comment as Positive. The user starts out uncertain, but ultimately enjoys the song's uniqueness and complexity, which suggests they have developed a positive appreciation for it."
The worst Dua’s musical video 💀,"I would classify this comment as Negative. The use of the phrase ""the worst"" and the skull emoji (💀) clearly express the commenter's strong dislike for the music video."
"quite boring song, not catchy.... the video is also somithing strange. Before the songs were much better","I would classify this comment as Negative. The commenter explicitly states that the song is ""boring"" and not ""catchy"", and also expresses disappointment with the music video, stating it's ""somethin[...] strange""."
90s movie vibe🎞,"I would classify this comment as Positive. The comment mentions a ""vibe"" which implies a positive emotional association with the video's aesthetic, specifically referencing 1990s movies which often evoke nostalgia and fond memories."
They play this song once every 2 hours at work... Very catchy,"I would classify this comment as Positive. The phrase ""Very catchy"" indicates that the commenter enjoys the song's melody, which suggests a positive sentiment towards the music."
Ironically  the song sounds like a whirlpool. Musically and visually everything begins to spin and then stops in the chorus. What makes you feel like VERTIGO.🌪🌀🌀🌀,"I would classify this comment as Positive, as the commenter is praising the song's unique qualities (""whirlpool"" effect) and its ability to evoke a strong emotional response (""What makes you feel like VERTIGO""), using enthusiastic emojis (🌪🌀🌀🌀)."
I’m sick of 14 yr old girl lyrics,"Negative

This comment expresses frustration and annoyance towards the lyrics, indicating a negative sentiment towards the music."
"It's gonna be hard for this era to beat Future Nostalgia because FN is pure perfection, but I'm so ready for Radical Optimism!!","I would classify this comment as Positive. The commenter expresses admiration for the previous album ""Future Nostalgia"" calling it ""pure perfection"", while also showing enthusiasm and anticipation for the new album ""Radical Optimism"", indicating a strong positive sentiment towards both albums."
Lyrics are on point ❤🇦🇷,"I would classify this comment as Positive. The use of the phrase ""on point"" is an idiomatic expression meaning that something is accurate or spot-on, and the added emojis (❤️) convey a sense of enthusiasm and approval."
"Her worst video /song. Hate her new basic look. No wonder she is in her flop era. Girl step it up, stop playing it safe!","I would classify this comment as Negative. The commenter uses strong negative language such as ""worst"", ""hate"", and ""flop era"" to express their dislike for the artist's new music and appearance, with a tone that is critical and unsupportive."
The chorus EASILY could have been an ABBA song.,"I would classify this comment as Positive. The commenter is praising the similarity to ABBA's style, implying that the song is catchy and well-crafted, which are typically positive qualities associated with music."
This is her worst single,"I would classify this comment as Negative. The user explicitly states that the song is ""worst,"" indicating a strong negative sentiment towards the song."
..the chorus reminds me of Digital Farm Animal (Tokyo Night)...,"I would classify this comment as Positive. The commenter is expressing a fondness for the song's chorus by drawing a comparison to another song they enjoy, indicating a positive sentiment towards the music video."
