comment,user_name,date,likes
"The retro vibes are strong with this one - a perfect blend of their iconic sounds and styles. This is the collab we didn't know we needed, and now we can't live without.",@SarahClark-g5q,2025-07-26T16:42:47Z,48
Love that they wrote and recorded this in one late-night studio session—feels like you're overhearing something deeply personal.,@7thoctave,2025-07-29T08:46:21Z,31
"What a beautiful old guitar.  You just don't see Silverstone anymore, like you used to.",@stephanieredden8861,2025-08-03T03:20:50Z,29
"Bruno Mars distills galaxies into groove, every note a star collapsing into soul. Lady Gaga sculpts silence into spectacle, wielding emotion like fire spun through glass. They aren’t artists; they’re phenomena. rare alignments of spirit and sound that make time stop and hearts remember how to feel.",@FritzHeraldLozano,2025-08-01T18:02:22Z,22
"Bruno words are so CLEARLY & ROMANTICALLY SOUND. I just adore Lady Gaga, she GORGEOUSLY  BEAUTIFUL with her strong POWERFUL VOICE. 🌹💋♥️💙🎶🍹👏🏽💯",@karenvtowns9054,2025-07-18T03:02:51Z,14
This song really brings back the 2010 Bruno Mars vibe.,@IISkullzyII,2025-07-25T19:38:00Z,13
This song is related to a lot of my memories and whenever I listen to it I feel nostalgic for those days 😢💔,@لين-88-77,2025-08-07T01:10:10Z,10
This song hit the deepest part of my heart.🖤,@falsh6591,2025-07-16T10:18:20Z,9
1.2 Billion views in less than a year its just amazing that the song hits so deep that it heals my trauma,@abhinandnshamin9606,2025-07-16T15:14:59Z,9
"Magical lyrics,bruno mars and lady gaga combo hit my heart",@beautysaha7420,2025-07-30T16:10:48Z,8
This song makes me feel deep about my trip to Australia just ended yesterday,@wassupbuuuuuuhdy_gfriend,2025-07-30T03:28:55Z,5
"Came for the thumbnail, stayed for the vibes",@AshishKumar-h6x9v,2025-07-25T11:45:33Z,5
Emotional song😢😢,@RefruMog-y5c,2025-08-02T14:00:18Z,4
Such a beautiful harmony of voices and visuals. Timeless art! 😊👍,@Tungushbay_s_Picks,2025-07-22T19:44:18Z,4
Unreal vocal ❤❤❤,@neerajxwow,2025-08-07T14:27:03Z,4
Die With A Smile just hit its 50th week in the Billboard Hot 100's top 10! 🥳❤️🤯 What a powerful song!,@LilithMonster38,2025-08-10T03:26:20Z,4
"Came for the thumbnail, stayed for the vibes",@Gullaggakhan,2025-07-31T15:00:36Z,3
I'm not a great listener of music and don't keep up with it at all.. day before yesterday my wife dedicated this song to me..and now its been running non-stop in my mind since then..get tears in my eyes listening and feeling the beautiful lyrics..! We celebrate 10 lovely years of togetherness at the end of this year..!❤ Cherish every moment you have with your loved ones...!,@mahmoudbhingraj6382,2025-07-17T20:16:15Z,3
Oh yeah! These words are a sure reaction to some deep divine love ~~~if the world was ending I want to be next to you That's deep~~~,@carmenadelemahon8659,2025-07-22T20:47:31Z,2
It brought me to  tears its so powerful  it reaches you heart,@chukadunkwu,2025-08-10T17:10:48Z,2
"Came for the thumbnail, stayed for the vibes",@JasonJonsons,2025-07-29T14:36:22Z,2
This song is really heart touching❤It's Not just a song It's emotion🥰,@ramimkhan3133-o1g,2025-07-16T07:31:33Z,2
😢❤❤❤😢😢😢I get emotional every time I listen to it!!,@maryciliciousflores1287,2025-07-16T08:31:00Z,2
"Eae du do futuro, tá com sdds desse tempo né...",@Bruxølzz7,2025-07-15T18:04:09Z,2
"Came for the thumbnail, stayed for the vibes",@NarineSargsyan-b9g,2025-07-21T15:05:03Z,2
I listen this everyday... It's gives a Good Vibes on their High Notes ♥️❤️♥️❤️ damnnnnn 🌸,@rizwanakhtar1552,2025-07-24T09:56:25Z,2
Worst song,@PALLAVBhattacharjee-m5z,2025-07-30T17:08:52Z,2
Catchy song!!! I love it ❤❤❤adore,@Raquelug9410,2025-07-19T15:51:29Z,2
"if you love this song, we invite you to check out our acoustic cover version, of this song at this link on our channel https://youtu.be/qJ9Roo6qWD8?si=sL0yM1LXGDmiRGmH",@loveduomusic,2025-07-21T01:01:11Z,1
Love the intro beats from Crazy cee lo green ;),@SaltySireneChocolatte,2025-08-03T01:06:19Z,1
"Came for the thumbnail, stayed for the vibes",@RlmcfuLmbgtyu,2025-08-01T01:16:25Z,1
"Came for the thumbnail, stayed for the vibes",@SadikManik-u5s,2025-08-01T16:32:24Z,1
"Came for the thumbnail, stayed for the vibes",@Jvdryidhkd,2025-08-01T01:16:23Z,1
"I broke up with my girlfriend with BPD, it was a fairy tale love with lots of good memories and moments, but the downs were so hard and it was an emotional rollercoaster……but I don’t know I took the right decision…..she gave the most beautiful love I ever experienced in my life……I still miss her…..I love you Bubu❤ Maybe the best love stories aren’t meant to be with each other ❤",@History_Mystery_Crime,2025-07-22T20:49:00Z,1
"Came for the thumbnail, stayed for the vibes",@KarinaPretty-f4x,2025-07-29T16:37:28Z,1
Who’s memorised the lyrics without even trying to learn the song😂,@Sayhan2023,2025-07-27T11:42:59Z,1
"Came for the thumbnail, stayed for the vibes",@HuyênTrần-b4g,2025-07-22T22:06:40Z,1
