comentario,resposta_api
the switching between the deep voice and “high” voice is very addicting-,"I would classify this comment as Positive. The use of the word ""addicting"" suggests that the commenter finds the song to be highly engaging and enjoyable, which is a positive sentiment."
"I'm almost 31, Charlie just turned 32 and that is a big reason I've become a fan today because the vibes of her brat album definitely give me those myspace era days  vibes and she gets it. Got it down packed 😭I just love the retro aspect of her and actually being able to feel like you're reliving that era is nice.","Positive.

The commenter expresses their fondness for Charlie's music, specifically the ""brat album,"" which evokes nostalgic feelings from their past. They also praise Charlie's ability to capture the essence of a bygone era, conveying a sense of appreciation and enjoyment. The use of 😭 (a crying emoji) further reinforces the positive sentiment."
WHY AM i BLUSHING SO MUCH FROM HEARING BILLIE'S VERSE 😳😳 THIS GOT ME VICARIOUSLY YEARNING 😫,"I would classify this comment as Positive. The commenter is expressing enthusiasm and emotional connection to the music, using emojis like 😳 and 😫 to convey their strong reaction, indicating a highly positive sentiment towards Billie's verse."
THEYRE LITERALLY TALKING TO EACH OTHER BUT IN LYRICS FORM IS CRAZZZY😫,"I would classify this comment as Positive. The user is expressing excitement and admiration for the creative lyrics, using enthusiastic language (""CRAZZZY"") and emojis (😫) to convey their enthusiasm."
"It’s not a religion, cure for world hunger or peace, just a catchy rhythm accompanied by two female artists at the top of their game. Enjoy it for that folks","I would classify this comment as Positive. The commenter explicitly uses the phrase ""at the top of their game"" to describe the two female artists, indicating admiration and enthusiasm, which is a clear positive sentiment."
"Like ik im late and everything u jus wanna say that the fact i know they are singing about really dirty things the song is such a vibe😭😭😭 like im literally vibing to the part ""i have to GUESS the colour of your underwear..."" 😭","I would classify this comment as Positive. The user is expressing strong enthusiasm and enjoyment (""vibe"") for the song, despite acknowledging that the lyrics may be explicit or taboo (""dirty things"")."
This beat goes craaaaaazyyy,"I would classify this comment as Positive. The use of the word ""craaaaaazyyy"" with multiple ""a""s is an exaggeration that conveys strong enthusiasm and excitement about the music's energy."
Unpopular opinion: Billies verse is my favorite.,"I would classify this comment as Neutral. The commenter is expressing a unique opinion that may not be widely shared, but they're doing so in a non-emotive and objective tone, without using strong language or personal attacks, which keeps the sentiment neutral."
"1:36 that synth in the drop is fkin nasty, daaaamn, I love it","I would classify this comment as Positive. The use of enthusiastic language such as ""fkin nasty"", ""daaaamn"", and ""I love it"" indicates a strong positive sentiment towards the music video's audio."
JoJo needs to take notes,"I would classify this comment as Neutral. The comment is not expressing a clear positive or negative sentiment towards JoJo or their music, but rather seems to be making a suggestion or offering advice."
"Lord knows how this got to be ""Song of the Year"" at The Brit Awards. I can't anticipate anybody singing it two or three years from now. Shouldn't endurance still be a test of a song's quality? Even a brief look at the lyrics shows how shallow and self-indulgent ""Guess"" is.  And before anybody has a go at me, I freely admit that I am probably an old fuddy duddy and don't know what I am talking about. I am cool with that.","I would classify this comment as Negative. The commenter expresses strong criticism towards the song, calling it ""shallow"" and ""self-indulgent"", and questions how it could be considered ""Song of the Year"". While they acknowledge their potential biases, the overall tone is disapproving and negative."
That technological melody hits🎉🎉,"I would classify this comment as Positive. The use of excited emojis (🎉) and the phrase ""hits"" suggests that the commenter is enthusiastic and enjoys the music."
Literally here after seeing Taylor vibe to this song in the grammys,"I would classify this comment as Positive. The commenter is expressing enthusiasm and excitement after seeing Taylor Swift perform the song at the Grammys, indicating a strong positive association with the artist and the music."
Im obsessed how she’s walking in on beat at the beginning,"I would classify this comment as Positive because it expresses enthusiasm and admiration for the artist's performance, specifically highlighting their ability to walk in sync with the music."
this song is like weird and catchy at the same time,"I would classify this comment as Positive, with justification: The commenter uses positive adjectives (""weird"" and ""catchy"") to describe the song, indicating they find it interesting and engaging."
0:38 WHY IS IT SO CATCHY😭✋,"I would classify this comment as Positive. The commenter is expressing their enthusiasm for the song's catchiness, using emotional language (""WHY...😭"") to convey their excitement."
I feel like everyones talking about Billie BUT CHARLI'S VERSE WAS AS GOOD!!! I MIGHT EVEN LIKE IT BETTER,"I would classify this comment as Positive. The commenter starts by expressing enthusiasm for someone else's work (Billie), but then shifts their focus to Charli's verse, stating it was ""AS GOOD"" and potentially even better, indicating a strong positive opinion about Charli's contribution to the song."
0:59 the beat drop when billie comes in is soo catchy omg,"I would classify this comment as Positive. The commenter uses enthusiastic language (""omg"") and exclaims that the song's ""beat drop"" is ""catchy"", indicating a strong positive reaction to the music."
possibly the worst song ever?,"I would classify this comment as Negative. The phrase ""worst song ever"" explicitly expresses strong dislike for the song, indicating a negative sentiment towards it."
