classificacao,comentario,justificativa
Neutral,"Cant believe this song was 9month ago , time flies so fast. This is so nostalgic😢","Expresses a nostalgic sentiment with a slight sadness, but doesn't strongly criticize or praise the song."
Positive,What a vibe ❤,Expresses positive feeling with the heart emoji.
Positive,Dude this has perfect middle school couple vibes and i love it,Expresses fondness for the song's portrayal of a teenage romance.
Positive,Omg  !!!! Big fan here ! Love the vibes ! Slay ! I love this song . Listen to it everyday 🎉🎉🎉🎉🎉🎉🎉❤😂,Expresses strong enthusiasm and enjoyment with celebratory emojis.
Positive,Bruno’s smooth vocals + Rosé’s angelic voice = literal perfection. Who else didn’t expect this combo but can’t stop replaying? 🤯🎶,Expresses strong enthusiasm and describes the combination as ‘literal perfection’.
Positive,9 MONTHS OVER TO APT BUT STILL VIBE LIKE NEW SONG,Expresses satisfaction with the song's continued quality.
Positive,"Came for the thumbnail, stayed for the vibes",Expresses enjoyment of the video's aesthetic and atmosphere.
Positive,Y'all bring this trend back to life it feels so nostalgic already 😭,Expresses fondness and nostalgia associated with the trend.
Positive,"Rosé’s voice isn’t just heard — it’s felt. ‘APT’ is raw, emotional, and absolutely breathtaking. She never fails to touch the soul. 🥀🎶❤❤",Expresses deep admiration and emotional impact of the song.
Positive,Sure that After so many years we fell nostalgic for this song❤,Expresses fondness and nostalgia for the song.
Positive,Omg I got American 2000s High School Vibe.,Expresses a nostalgic and positive association with the music.
Positive,"Energetic and hyped: Think channels with fast-paced editing, upbeat music, and high-energy content.",Describes the video as energetic and exciting.
Positive,"Came for the thumbnail, stayed for the vibes",Expresses enjoyment of the video and its atmosphere.
Negative,APT is already 9 months old? It's nearly a year since this catchy song has released!!!,Expresses disappointment and frustration about the song's age.
Positive,"Came for the thumbnail, stayed for the vibes",Expresses enjoyment and appreciation for the video's atmosphere.
Negative,This is the worst song I ever heard,"Expresses extreme dissatisfaction and labels the song as the ""worst""."
Positive,Siblings vibes✨,The term 'siblings vibes' suggests a warm and pleasant association.
Neutral,nostalgical,Expresses a feeling of reminiscence without strong positive or negative emotion.
Positive,"Came for the thumbnail, stayed for the vibes",Expresses enjoyment and appreciation for the video's atmosphere.
Positive,Old-school vibes 🔥,Expresses enthusiasm and appreciation for a nostalgic style.
Positive,BLIИKS let's go for 2 billion milestone,Expresses enthusiastic support for the song's success.
Positive,"Came for the thumbnail, stayed for the vibes",Expresses enjoyment and appreciation for the video's atmosphere.
Positive,"Came for the thumbnail, stayed for the vibes",Expresses enjoyment and positive feelings about the music video.
Positive,Is there any place in the world  that doesn’t know the chorus and all the words to the song?,Indicates widespread popularity and recognition of the song.
Positive,"Rosé made a really good song, it was very catchy and catchy.",Expresses enjoyment of the song's catchiness.
