comentario,resposta_api
Let’s be honest. This vibe never gets boring ❤,"I would classify this comment as Positive because it expresses enthusiasm and appreciation for the song's energy, using the phrase ""never gets boring"" to convey a sense of longevity and enduring appeal. The added heart emoji (❤) further reinforces the positive sentiment."
"Sabrina’s energy is unmatched in this track! The catchy beat, her vocals, and the fun visuals make Espresso a total vibe. I can’t stop dancing! ☕🎶✨","I would classify this comment as Positive. Justification: The commenter uses enthusiastic language to express their love for Sabrina's performance, calling it ""unmatched"" and stating that they ""can't stop dancing"", indicating a strong positive sentiment towards the music video."
"The retro vibes, the catchy beat, and that *Please Please Please* teaser—she's building a whole universe! This era is already iconic, and I can't wait to see what's next.","I would classify this comment as Positive. The commenter uses enthusiastic language, such as ""iconic"" and ""can't wait"", and expresses admiration for the artist's creativity (""building a whole universe"") and their music (""retro vibes"", ""catchy beat"")."
I love this! When I watch this video! Reminds me of myself living in Los Angeles and running around from one boy to another. Love this song and video. This girl is the cutest thing I have seen in a long time. Good vibes 😎,"I would classify this comment as Positive. The user explicitly states ""I love this!"" and repeatedly uses positive adjectives such as ""cutest"" and ""good vibes"", indicating their strong enthusiasm and admiration for the video and song."
I LOVE feel good music! The kind that makes you feel like you’re in the 1960’s floating on a cloud sipping lemonade in the summer with a nice breeze!!! “Say So” by Doja Cat gives me same vibe! Love this! ❤,"I would classify this comment as Positive. The use of enthusiastic language such as ""I LOVE"", exclamation marks, and emojis (❤) convey a strong sense of enjoyment and affection towards the music video and its similar qualities to feel-good 1960s music."
1:18 chorus,I would classify this comment as Neutral because it simply mentions a specific time point in the song (the 1:18 mark) without expressing any positive or negative sentiment about the music.
"Sabrina knows a lot, she released the song a year ago and it's still catchy ❤️‍🔥","I would classify this comment as Positive. The tone is enthusiastic and praises Sabrina's ability to create a song that remains popular even after a year, with the use of emoticons further emphasizing the positivity."
"Cant believe it has been a year since espresso was released. Time flies by fast. This song has always been great, it really gives good spring and summer vibes🔥🔥🔥","I would classify this comment as Positive. The commenter expresses surprise that time has passed quickly since the release of the song, indicating they have a strong positive emotional connection to it, and uses enthusiastic language (""great"", ""good spring and summer vibes"") and emojis (🔥) to emphasize their appreciation for the music."
Today this song turned 1 year old... This song literally gives summer vibes and I'm here for it. Thanks Sabrina.,"I would classify this comment as Positive. The commenter expresses their love for the song's ""summer vibes"" and mentions being a fan of the artist, Sabrina, using the word ""thanks"", which implies gratitude and appreciation."
The vibe of this song is lethal. Love it!,"I would classify this comment as Positive. The use of the word ""love"" explicitly expresses enthusiasm and affection for the song, while the phrase ""lethal"" has a positive connotation in this context, implying that the song's energy and impact are intense and effective."
"This whole video is pure sunshine and good vibes, and that ""Please Please Please"" teaser has me counting down the seconds until the album drops! Sabrina understood the assignment.","I would classify this comment as Positive. The commenter uses phrases such as ""pure sunshine"", ""good vibes"", and ""understood the assignment"" to express enthusiasm and approval, indicating a strongly positive sentiment towards the music video and the artist, Sabrina."
"Sabrina Carpenter sings and dances with such a sincere, flirty and lively music that I quickly fell in love with this woman, losing myself in the rhythm of the music.🔥😍😘","I would classify this comment as Positive. The commenter uses words like ""sincere"", ""flirty"", and ""lively"" to describe Sabrina Carpenter's performance, indicating a strong admiration and enthusiasm for her music and presence in the video."
"""Was on vacation in Thailand '24 — and this song gave me all the vibes. Thanks, Sabrinaaaaaa!"" 🌴🎶💖","I would classify this comment as Positive. The commenter mentions that the song ""gave them all the vibes"" while they were on vacation, implying a strong emotional connection to the music, and ends with a enthusiastic expression of gratitude towards the artist."
"Today was the 1st anniversary of espresso. Espresso was published on April 11, 2024 at 20:00. Today is a truly special day. The emotions it evokes and the meanings it carries, the hope it gives to people and a little bit of Sabrina's strong coffees.💋👄☕🩱☕","I would classify this comment as Positive. The tone is celebratory and sentimental, using words like ""truly special"" and expressing gratitude for the emotions and meanings evoked by the video. The addition of coffee-related emojis further reinforces the positive sentiment."
Scott Cramer and his video about the wrong lyrics brought me here,"I would classify this comment as Neutral. The commenter mentions being directed to the video by someone else's content (Scott Cramer's), but doesn't express a clear opinion or emotion about the music video itself, instead focusing on the circumstances that led them to watch it."
The quiet house put this song so nice vibes,"I would classify this comment as Positive. The user mentions ""nice vibes"", which is a positive association with the song, indicating they enjoyed the music and the atmosphere it created."
"Happy 1st Anniversary. I can't believe it's been a year already, I remember when this said 1 hour ago. Spring and Summer 2024 was peak, but Summer 2023 was better. The summer vibe and chorus goes so hard, as a guy, I'm not too crazy with this song, but the vibe goes hard. 1 year since this went off the charts along with They Not Like Us by Kendrick Lamar during Summer 2024. I'm already nostalgic for 2024, so much good happened. This year really sucks horribly with the plane crashes, the stock markets, everything, basically. I know I shouldn't be getting nostalgic for 2024, but that was my year getting out depression from Late Summer 2023 and Fall 2023, so I do miss 2022 - 2024 a lot. This year hasn't been hitting in this crazy country and world we live in. Too many bad things are happening! I wanna go back so bad! April 12, 2024 - April 12, 2025.","I would classify this comment as Neutral with a hint of Positive.

The commenter expresses nostalgia for past years (2022-2024) and mentions that those times were ""peak"" and ""better,"" which suggests a positive sentiment towards the past. However, they also mention that the current year is ""horribly"" affected by various negative events like plane crashes and stock market issues, which balances out the positivity. Overall, while there are some positive statements, the comment's tone is more reflective and melancholic than overwhelmingly enthusiastic."
i love the lyrics,"Positive: The commenter explicitly states their affection for the song's lyrics, expressing a strong positive emotion towards the music."
Its literally giving summer vibes its giving vintage it’s giving beach vibes its giving perfect summer day ✌️,"I would classify this comment as Positive. The use of enthusiastic language such as ""literally"", ""giving"", and superlatives like ""perfect"" convey a strong sense of excitement and enthusiasm for the music video, indicating a positive sentiment."
"Looking forward to this song becoming nostalgic, except for it already is ☕","I would classify this comment as Positive, because despite mentioning ""nostalgic"" which could be interpreted as bittersweet, the tone is overall enthusiastic and excited about the song's potential impact."
Yo the summer vibes feel it from here.,"I would classify this comment as Positive because it expresses enthusiasm and enjoyment for the ""summer vibes"" in the music video, indicating a positive sentiment towards the content."
Such a beautiful beat and voice ❤,"I would classify this comment as Positive. The use of the word ""beautiful"" and the emoticon ❤️ indicate a strong positive sentiment towards the music, specifically praising its beat and vocal performance."
Wow it's 1 year already 😭✌️✌️ I used to vibe this til June ..,"I would classify this comment as Positive. The user is expressing nostalgia and appreciation for the music video, with emotive emojis like 😭 and ✌️, indicating a strong emotional connection."
Wow is this awful.,"I would classify this comment as Negative because it uses strong language to express dislike (""awful"") and starts with an intensifier (""Wow""), emphasizing its negative sentiment."
"Cannot understand her lyrics, no talent, just a stripper.","I would classify this comment as Negative. The commenter expresses frustration with not being able to understand the artist's lyrics, dismisses their talent, and reduces them to their physical appearance (stripper), demonstrating a clear lack of appreciation for the artist or their work."
"i remember this song being every in 2024, so nostalgic 😭 ❤","I would classify this comment as Positive. The user is expressing nostalgia for the song, which implies that it holds a special place in their heart, and the use of emojis such as 😭 and ❤️ further reinforces the positive tone."
It's giving me Summer vibes I love it😊😊😊😊😊❤❤❤❤❤,"I would classify this comment as Positive. The use of enthusiastic emojis (😊) and heart symbols (❤) convey excitement and affection towards the music video, indicating a strongly positive sentiment."
This song makes you feel so alive right from when the beat drops..,"I would classify this comment as Positive. The commenter is expressing their enthusiasm and emotional connection to the song, using words like ""feels"" and ""alive"", indicating a strong positive sentiment towards the music."
This song is such a VIBE,"I would classify this comment as Positive. The use of the phrase ""such a VIBE"" suggests that the commenter is enthusiastically endorsing the song's energy and atmosphere, conveying a strong positive sentiment."
"is funny usually I am a hook go crazy guy, this is one of the most amazing hooks written in music history, and I see the video is not even in the 1 billions views, so I know some songs do it for some people and others not, the last songs that amazed me this much was heat waves and record player and I am  a hip hop mostly artist but I appreciate when music is catchy and well written. hands down!!","I would classify this comment as Positive. The commenter uses superlatives such as ""amazing"" and ""hands down"", expressing strong admiration for the song's hook, and mentions specific songs that they enjoyed similarly, indicating a positive emotional response to the music."
"The vintage vibes are strong, and the song is incredibly catchy—can't wait to see where this era takes her! The ""Please Please Please"" teaser at the end was genius.","I would classify this comment as Positive. The user is expressing enthusiasm for the song's catchiness and nostalgia-tinged vibe, and specifically praises the ""genius"" of a promotional teaser, indicating a strong positive sentiment towards the music video and artist."
I love this song! Such a summer vibe!!,"I would classify this comment as Positive. The user explicitly states they ""love"" the song and uses enthusiastic language (""Such a summer vibe!!"") to express their excitement and enjoyment of the music."
