comentario,resposta_api
"This gave the vibe of ""Death Becomes Her"" 1992 movie ❤","I would classify this comment as Positive. The user is referencing a classic movie that is often praised for its dark humor and wit, implying that they enjoyed the music video's similar tone and atmosphere. The use of the heart eyes emoji (❤) also adds to the positive sentiment."
"idk how many times i've watched this, yall dont understand how badly i need a full movie of this vibe","I would classify this comment as Positive. The user's enthusiastic tone and phrase ""how badly i need"" indicate strong enthusiasm and appreciation for the music video's style, suggesting they hold a very positive opinion about it."
It’s giving  “Death Becomes Her” vibes and I LOVE IT!!! Please explain if I missed anything else,"I would classify this comment as Positive. The use of ""LOVE IT"" in all caps, along with the enthusiastic tone and phrase ""I LOVE IT"", indicates a strong positive sentiment towards the music video."
I love the “Death Becomes Her” vibes 🫶💜,"Positive. The commenter explicitly states they ""love"" the reference to ""Death Becomes Her"", indicating a strong positive sentiment towards the music video's aesthetic or theme."
"The subtle details of this video like the callbacks to other videos, her heart beating to the music, or her banging the dolls head on the hedges to the timing of the song. I can't get enough.","I would classify this comment as Positive because it expresses enthusiasm and appreciation for the video's creative elements and attention to detail, with phrases like ""I can't get enough"" indicating a strong positive sentiment."
"This track really hits the spot! The beat is so infectious, and the lyrics speak to my soul. Definitely adding this to my playlist!","I would classify this comment as Positive. The use of phrases such as ""hits the spot"", ""infectious"", and ""speaks to my soul"" convey a strong sense of enthusiasm and appreciation for the music, indicating a positive sentiment."
"I'm having a 90's flashback, as this music video has some Death becomes her vibes.","Positive: This comment expresses admiration for the music video's aesthetic, comparing it favorably to a classic 1990s film, conveying a positive sentiment towards the content."
This is giving me “Death Becomes of Her” vibes. I love it!,"I would classify this comment as Positive. The user explicitly states they ""love"" the video, expressing a strong positive sentiment towards it."
"An interesting song with  and surprising for me, Sabrina keeps serving confidence, charm, and iconic vibes. Taste is cheeky, clever, and absolutely addictive. She really said you’ll just have to taste me’ and made it sound like pure pop gold. Queen behavior.","I would classify this comment as Positive. The commenter uses superlatives such as ""interesting"", ""confident"", ""charming"", ""iconic"", ""addictive"", and ""pure pop gold"" to describe the song, indicating a very positive sentiment towards Sabrina's music. Additionally, they use phrases like ""Queen behavior"" which reinforces the positivity of their tone."
"This video was inspired by and pays homage to the movie ""Death Becomes Her"" a fun 80's classic you'll love which stars Goldie Hawn, Meryl Streep, & Bruce Willis. This video is basically a short version remake of the film that uses all the same gags, storyline, setups/pay offs, and digital effects. ""Death Becomes Her"" is one of my absolute favorite movies from the 80's which I've seen hundreds of times thru years, and Sabrina did such an amazing job recreating it here in this masterpiece! The only difference between the two is Goldie and Meryl don't have a kissing scene.  You guys have to now see ""Death Becomes Her."" Trust me, you'll love it and you'll thank Sabrina Carpenter for showing it some love, because it's such an underrated romance horror classic.","I would classify this comment as Positive.

The justification is that the commenter uses superlatives such as ""amazing job"", ""masterpiece"", and ""absolute favorite"" to describe both the original movie and Sabrina Carpenter's video remake, indicating a strong positive sentiment towards both. Additionally, they explicitly state that anyone who watches the video will ""love it"" and ""thank"" Sabrina Carpenter for creating it, further reinforcing the positive tone."
This is death becomes her vibes.  For anyone not old enough to understand that it's a movie.,"I would classify this comment as Neutral. The commenter is making a statement about the music video's atmosphere and providing context for younger viewers who may not be familiar with the reference, rather than expressing a positive or negative opinion."
"There are songs whose meaning is better left unexplored. I thought this song was about a romantic story, but Sabrina's voice is so sweet. I don't know English, so I appreciate the sound of the guitars, the pauses of each chord, the rhythm, and the drums. However, the meaning of the lyrics was not what I imagined.","I would classify this comment as Positive. The commenter starts by expressing a nuanced opinion about the song's meaning, but ultimately praises Sabrina's voice, the instrumental elements, and the overall sound, indicating a positive sentiment towards the music."
"This music video gives me a lot of ""Death becomes her"" vibes lol especially the ending.","I would classify this comment as Positive. The commenter is expressing enthusiasm and admiration for the music video's aesthetic and concept, comparing it favorably to a cult classic film (""Death Becomes Her"")."
This track = serotonin boost! Wishing everyone here peace and good vibes today. 💛🎵,"I would classify this comment as Positive. The user explicitly states that the track gives them a ""serotonin boost"", implying a strong positive emotional response, and adds a warm sentiment by wishing others ""peace and good vibes""."
"Yooo the younger generation is probably not going to get this but the music video for this song is giving me ""Death Becomes Her"" vibes. (It's an older movie that has a similar theme of two women going after the same man and they keep sort of coming back to life and then at the end he winds up dead and they become sort of friends)","I would classify this comment as Positive, because despite mentioning that the music video may not be relatable or appealing to younger generations, the tone is enthusiastic and nostalgic, indicating a fondness for the reference and appreciation for the content."
I love how Sabrina and Jenna don’t die but all the men in the universe die or get arrested at the sight of Sabrina,"I would classify this comment as Positive. The tone is playful and enthusiastic, with the user expressing delight in the show's unconventional portrayal of power dynamics, suggesting they have a strong appreciation for the content."
"WTH is this music vid, like the lyrics are normal but the visuals 💀 like damn","I would classify this comment as Negative, because although the commenter seems to enjoy the music (calling the lyrics ""normal""), they strongly express dislike for the visuals using strong language (""WTH"" and ""damn"")."
known nothing about Saabrina Carpenter randomly clicked on this.. didn't expect Jenna or this crazy video lmao love it! in recent years music videos have been all performance I missed the old 90s /2000s vibes like this where videos were full mini movies :),"I would classify this comment as Positive. The user explicitly states ""love it!"" and uses positive phrases such as ""crazy video"" and ""missed the old [vibes]"", indicating a strong positive sentiment towards the music video."
Sabrina has catchy music and the reason why she is successful something a-lot of artists struggle with is catchy music,"I would classify this comment as Positive. The commenter uses the word ""catchy"" to describe Sabrina's music, which is a compliment, indicating that they have a positive opinion about her music."
This is awful lmao <3,"I would classify this comment as Positive. The user starts by saying ""this is awful"", which could be interpreted as negative, but then adds ""lmao"" (laughing my ass off), which suggests that they are laughing at or finding humor in the music video's awfulness, indicating a playful and lighthearted tone."
"This gives me so many ""Death becomes her"" vibes, but with much more gore. LOVE IT xD","I would classify this comment as Positive. The user explicitly states they ""LOVE IT"", which indicates a strong positive sentiment towards the video content."
This music won't be played in the future it's so autotuned.,"I would classify this comment as Negative. The commenter expresses their dislike for the song's use of auto-tuning, implying that it is not of good quality or worth listening to in the future."
The crying at the end is so deep-,"I would classify this comment as Positive. The use of the word ""deep"" suggests that the commenter was emotionally moved by the song, which implies a strong positive emotional response."
Take the vocals out and this is gorgeous 🎉,"I would classify this comment as Positive. The use of ""gorgeous"" and the celebratory tone with the 🎉 emoji convey a sense of enthusiasm and appreciation for the music video."
The video clip is so disgusting!Awful!🤢,"I would classify this comment as Negative. The comment uses strong negative language (""disgusting"", ""awful"") to express the user's dislike for the music video."
i am living for the subtle Death Becomes Her vibes!,"I would classify this comment as Positive. The commenter uses enthusiastic language (""living for"") to express their admiration for the video's aesthetic resemblance to a cult classic film, indicating a strong positive sentiment towards the content."
It gives 'Death Becomes Her' vibes. I love it!,"I would classify this comment as Positive. The user explicitly states ""I love it!"", which conveys a strong positive sentiment towards the music video."
"Though I love the song, its giving a desperate girl vibe that cant get over her ex. Ladies, please dont let a man ruin you. If he left you, then it means he is a trash","I would classify this comment as Positive. Although the commenter expresses frustration with a common theme in pop music (""desperate girl"" trope), their overall message encourages empowerment and independence for women, which has a positive tone."
"Divinlys "" I touch myself"" this song reminds me of that song a little the beat and stuff lol both are great songs","I would classify this comment as Positive. The commenter mentions that both songs are ""great"", indicating a positive opinion about the music."
This is really  catchy she's come  a long way,"I would classify this comment as Positive. The use of the word ""catchy"" to describe the song suggests that the commenter enjoyed it, and the phrase ""she's come a long way"" implies admiration for the artist's growth and progress."
Major 'Death Becomes Her' vibes.,"I would classify this comment as Positive. The comparison to the iconic movie ""Death Becomes Her"" is likely meant as a compliment, implying that the music video is stylish, sophisticated, and memorable."
This song has such a catchy beat!,"I would classify this comment as Positive. The user uses the word ""catchy"", which implies that they enjoy the song's rhythm and find it appealing."
"Emblematic of contemporary times — someone comes up with a passably decent song , albeit with questionable lyrics, and then produces a really horrible video for it.  Sure, the excuse will be that it’s done for laughs and is too comical to be taken seriously and no, it’s not serious, nor should it be taken that way, but if this is what constitutes lighthearted today. I’ll pass on it. Maybe Madonna from 1987 instead.","I would classify this comment as Negative, as the commenter expresses their disapproval of the music video's quality and lyrics, stating they will ""pass"" on it and suggesting an alternative (Madonna) that is more to their liking."
"“The Universe is a hologram the reality is an illusion, buy a gold, BYE”-Bill Cipher","I would classify this comment as Positive. The tone is playful and tongue-in-cheek, with a dash of humor, as Bill Cipher references the popular TV show ""Gravity Falls."" The mention of buying gold and saying ""BYE"" suggests a lighthearted and carefree attitude."
Best video I’ve seen in a long time. Beats any of the boring videos of TS,"I would classify this comment as Positive. The commenter explicitly states that it's the ""best video"" they've seen in a while, indicating a strong positive sentiment towards the video."
The lyrics are gross.,"Negative.

This comment expresses strong disapproval towards the lyrics of the song, using the word ""gross"" to convey a negative sentiment."
"Hot take: not every powerful, badass woman who doesn't need a man is lesbian. In fact, the idea that they're lovers totally takes away from the actual story. It makes so much more sense and makes both characters cooler if they come out of the mess realizing that NEITHER of them need validation from a romantic relationship, and they become good friends because of their similar views. The last few seconds with the playful banter really confirms this: they both found a friend in each other, and they were willing to forgive each other for the beef between them. Not everything is LGBTQ.","I would classify this comment as Neutral, justifying my answer by saying that while it expresses a clear opinion about the interpretation of the music video's storyline, it does not contain overtly positive or negative language towards the artists, song, or genre, and instead focuses on making a point about representation and storytelling."
Final destination vibes,"I would classify this comment as Positive. The phrase ""final destination vibes"" suggests that the commenter is drawing a positive comparison between the song's atmosphere and the popular horror movie franchise Final Destination, implying that they enjoyed the music video's tone or style."
I’m catching death becomes her vibes,"I would classify this comment as Positive. The phrase ""catching death"" is likely being used to express intense enthusiasm and agreement with the song's vibe, rather than literal criticism."
I’ve listened to this song 10000000 times and I don’t understand why y’all are serving DEATH to each other y’all are slaying the vibes. BTW When you sing “yeah I’ve been known to share JENNA WHY THE HELL MURDER HER!?!!?!? jk jk I know why,"I would classify this comment as Positive, because despite the initial tongue-in-cheek criticism of the lyrics (""murder"" her), the commenter ultimately expresses enthusiasm for the song and its ""vibes"", using playful language to show their appreciation."
I feel like no one actually goes to her concerts because her music is so generic it doesn't sound like music it's basically a flat line,"I would classify this comment as Negative. The commenter expresses strong disapproval of the artist's music, calling it ""generic"" and comparing it unfavorably to a ""flat line"", implying that it lacks any meaningful or engaging qualities."
"""You'll just have to taste me when he's kissing you"" freaky ahh lyrics","I would classify this comment as Positive. The commenter is expressing excitement and enthusiasm for the song's lyrics, using words like ""freaky"" and ""ahh"" to convey their positive emotions."
