comentario,resposta_api
Genuinely thought this was an old song I'd somehow missed. She really caught the old vibe so well!,"I would classify this comment as Positive. The commenter is praising the artist for capturing the ""old vibe"" of a classic song, showing appreciation and admiration for her performance."
This might be one of the best industrial-synth-pop EDM tracks she's ever done.... She's clearly in her prime as a vocalist. This track shows a level of maturity as an artist... Very catchy.,"I would classify this comment as Positive. The commenter uses strong language to praise the song, calling it ""one of the best"" and stating that the artist is ""in their prime"" and showing ""maturity"". They also use positive adjectives like ""catchy"", indicating a overwhelmingly positive sentiment towards the music video."
"I love how she glides through different styles and still kills it every time, from Harlequin's jazz vibes to a full-on POP banger... LADY GAGA, YOU'RE A GENIUS!","I would classify this comment as Positive. The commenter expresses their admiration for Lady Gaga's versatility and talent, using superlatives such as ""genius"" to emphasize their enthusiasm and approval."
The vocal layering is 🔥🔥🔥,"I would classify this comment as Positive. The use of three flame emojis (🔥) strongly suggests that the commenter is extremely impressed with the vocal layering, indicating a highly positive sentiment."
I love how amazing this is. Her vocals are fire and how she slowly builds the song to explosion in the end.,"I would classify this comment as Positive. The use of superlatives such as ""amazing"" and ""fire"" convey strong enthusiasm, while also highlighting specific aspects of the song that the commenter enjoys."
"Last album for a long time just for her true fans who loves her dark vibes. She doesn't need to top charts, win awards or earn millions. She did all of this in past. Now, she is free.","I classify this comment as Positive. The commenter expresses admiration and appreciation for the artist's ability to create music that resonates with fans, implying a deep connection with her work."
There is so much originality to this song in every possible way from the beat to the tone to what Gaga does with her voice.  And the lyrics have so much force.  A perfect score on this one.,"I would classify this comment as Positive. The commenter uses superlatives such as ""so much"", ""originality"", and ""perfect score"" to express their enthusiasm for the song, highlighting its unique qualities and powerful lyrics."
This song is unbelievably catchy. I learned every word already.,"I would classify this comment as Positive. The use of ""unbelievably"" to describe the catchiness of the song and the statement that the commenter has already learned every word shows enthusiasm and admiration for the song."
Im so emotional right now... This is pure dark industrial pop!!! Thanks mother for this cure to my Disease🖤🖤🖤,"I would classify this comment as Positive. The commenter expresses strong emotions and appreciation for the music, using enthusiastic language (""so emotional"", ""pure""), and even thanks their mother for introducing them to the song, indicating a positive association with the content."
I LOVE THE FACT THAT YOU WENT FOR AN OLD STYLE OLD SYNTH .,"I would classify this comment as Positive. The use of all capital letters and the phrase ""I LOVE"" strongly convey enthusiasm and admiration for the video's use of an old-style synthesizer, indicating a highly positive sentiment."
I can't stop listening to it! The vocal lines she creates amplify the powerful feeling of this song. Lady Gaga isn’t just a singer; she’s a multi-instrumentalist and songwriter. No one else can move from jazz to this genre with such results. I really wish I could sing like her!!! I just hope I don’t ruin this song when I make my cover...,"I classify this comment as Positive.

Justification: The commenter's enthusiasm is evident, as they express their inability to stop listening to the song and praise Lady Gaga's talent, calling her a ""multi-instrumentalist and songwriter."" They also mention wanting to sing like her and making a cover, indicating admiration and inspiration."
"This song instantly gives me that late 2000s and early 2010s vibe especially during the chorus where gaga says ""oh oh oh oh oh"" that part was fucking gorgeous","I would classify this comment as Positive. The commenter uses strong language to express their enthusiasm, calling a specific part of the song ""gorgeous"", which indicates a strong positive sentiment towards the music and the artist (Lady Gaga)."
This song is a lot more harmonically sophisticated than it seems at first.  The modal shifts and dissonant chords really get under your skin... in the best possible way.,"I would classify this comment as Positive. The commenter uses phrases like ""harmonically sophisticated"", ""really get under your skin... in the best possible way"" to express their appreciation for the song's complexity and emotional impact, indicating a strong positive sentiment towards the music."
"This is thrilling. Everything we could have wanted from her new era - it feels like all previous eras of Gaga are present on this record - we hear the virtuoso pianist, the rock star, the pop star, the jazz vocalist taking risks, the dark synth queen … and a totally unique artistic voice - one that can look at the whole of humanity good and bad and deliver something of beauty - with depth and emotional range and yet the same time - also still, to put simply - a catchy hook laden pop song! No one can touch her! Thrilling!","I would classify this comment as Positive. The user uses superlatives such as ""thrilling"", ""totally unique"", and ""no one can touch her"" to express their enthusiasm and admiration for the artist's new era, highlighting its diversity, risks taken, beauty, depth, and catchiness."
A true masterpiece of art and creativity.  The vocals are impeccable. The passion of music is life. Thank you Gaga for your time and works.,"I would classify this comment as Positive. The commenter uses superlatives such as ""masterpiece"" and ""impeccable"", expresses gratitude, and conveys admiration for the artist's creativity and passion."
"This song is a mixture, of the cure, judas and the fame vibes with some dark metal vibes. loving it.","I would classify this comment as Positive. The user explicitly states they ""loving it"", indicating a strong positive sentiment towards the song."
The vibe of this song is so good...,"I would classify this comment as Positive. The use of the phrase ""so good"" suggests that the commenter has a strong positive reaction to the song's vibe, indicating a positive sentiment towards the music video."
synth pop gaga has returned,"Positive: The comment expresses excitement and joy at Lady Gaga's return to her synth-pop roots, indicating a positive sentiment."
"The vocals at the end are legit! I luv it!! It’s metal, it’s haunting. IT SERVES!! 💉🩸","I would classify this comment as Positive. The commenter uses strong positive language (""legit"", ""luv it""), enthusiastic tone (multiple exclamation points), and specific praise for the song's qualities (""metal"", ""haunting"") to express their admiration for the video."
"Like the Born This Way single, this took me a while to get into but after each listen I liked this song more and more. The explosive chorus is my favourite part and when the beat intensifies near the end 3:06 🖤 It’s been stuck in my head for the past few days! 🎧 LG7 is going to be promising if this is the first taste🩸","I would classify this comment as Positive. The commenter states that they ""liked"" the song more and more with each listen, and specifically highlights the explosive chorus and intense beat at the end as their favorite parts. Additionally, they mention that the song has been stuck in their head for days, indicating a strong affinity for the music."
"The lyrics are so good. We all got the cure, I promise","I would classify this comment as Positive. The user is explicitly stating that they think the lyrics are ""good"", which indicates a positive sentiment towards the song."
"This is SOOO GOOOD, Gaga always delivers, production and vocals are incredible!!!! 😍","I would classify this comment as Positive. The use of superlatives (""SOOO GOOOD"") and enthusiastic tone (😍) convey a strong positive sentiment towards the music video, praising Lady Gaga's performance, production quality, and vocal delivery."
Sounding like the fame monster part 2 and I'm here for it....finally been waiting for more of that vibe,"I would classify this comment as Positive. The user is expressing enthusiasm and anticipation for the music video's style, comparing it favorably to another popular song (""the Fame Monster"" by Lady Gaga) and using a enthusiastic phrase (""here for it"") to convey their positive sentiment."
Dark synth pop mother giving us what we need 🖤,"I would classify this comment as Positive. The use of emojis, such as the red heart 🖤, conveys enthusiasm and admiration for the music video, indicating a positive sentiment towards it."
I’m late but wow Congratulations Lady Gaga on your comeback . Well freaking done . Wow this is amazing - I heard 10 seconds and the melody is insane . That bridge is killer !,"I would classify this comment as Positive. The commenter uses enthusiastic language, such as ""Wow"", ""Well freaking done"", and ""That's amazing"", to express their excitement and admiration for Lady Gaga's comeback and the music video. They also use strong positive adjectives like ""insane"" and ""killer"" to describe the melody and bridge, indicating a highly positive sentiment towards the content."
