comment,user_name,date,likes
"Cant believe this song was 9month ago , time flies so fast. This is so nostalgic😢",@vijayaprakash08,2025-07-18T06:42:43Z,13
What a vibe ❤,@Dora_shin-d41,2025-07-14T12:37:34Z,13
Dude this has perfect middle school couple vibes and i love it,@alagesanramanathan4598,2025-07-13T15:19:32Z,7
Omg  !!!! Big fan here ! Love the vibes ! Slay ! I love this song . Listen to it everyday 🎉🎉🎉🎉🎉🎉🎉❤😂,@ivyyang8253,2025-07-18T00:12:21Z,7
Bruno’s smooth vocals + Rosé’s angelic voice = literal perfection. Who else didn’t expect this combo but can’t stop replaying? 🤯🎶,@PopMusic-n7l,2025-07-24T09:29:17Z,6
9 MONTHS OVER TO APT BUT STILL VIBE LIKE NEW SONG,@sanjariarshad-rd6tb,2025-08-05T08:44:56Z,6
"Came for the thumbnail, stayed for the vibes",@SitenderKumar-ve3vi,2025-07-16T11:08:54Z,6
Y'all bring this trend back to life it feels so nostalgic already 😭,@CarlitoAuhelioJr,2025-07-23T12:31:04Z,5
"Rosé’s voice isn’t just heard — it’s felt. ‘APT’ is raw, emotional, and absolutely breathtaking. She never fails to touch the soul. 🥀🎶❤❤",@Techno-Dev07,2025-07-17T18:00:25Z,5
Sure that After so many years we fell nostalgic for this song❤,@akshay2003-v6w,2025-07-18T19:34:46Z,5
Omg I got American 2000s High School Vibe.,@Heras_private_place,2025-08-08T02:17:08Z,5
"Energetic and hyped: Think channels with fast-paced editing, upbeat music, and high-energy content.",@8eyeyDjt,2025-07-25T19:30:55Z,4
"Came for the thumbnail, stayed for the vibes",@PatrickColeman-d2n,2025-07-15T01:59:06Z,4
APT is already 9 months old? It's nearly a year since this catchy song has released!!!,@WonderfullyStanley,2025-08-07T22:27:36Z,3
"Came for the thumbnail, stayed for the vibes",@AdavizeSiyaka,2025-07-25T02:10:58Z,3
This is the worst song I ever heard,@Stumbleguysinfluncer,2025-08-03T02:34:12Z,3
Siblings vibes✨,@Pitufichingada,2025-08-05T08:07:59Z,3
nostalgical,@DHIAMAISARAHALAMINBINTIMOHDMUS,2025-08-04T12:01:36Z,3
"Came for the thumbnail, stayed for the vibes",@Ludulxjdyodufbch,2025-08-01T09:57:37Z,3
Old-school vibes 🔥,@OrionWolfang,2025-07-17T07:26:04Z,3
BLIИKS let's go for 2 billion milestone,@IndianBLINK123,2025-07-23T04:35:26Z,3
"Came for the thumbnail, stayed for the vibes",@MariaMorris-n7i,2025-07-29T00:50:50Z,3
"Came for the thumbnail, stayed for the vibes",@twuwhwuvahaumabwuvajababqjmabv,2025-07-29T00:36:58Z,3
Is there any place in the world  that doesn’t know the chorus and all the words to the song?,@JohannaOlson,2025-07-18T16:35:57Z,3
"Rosé made a really good song, it was very catchy and catchy.",@NaNa-t4j2k,2025-07-20T08:55:29Z,3
Lyrics source?  I have no friggin' idea what the chorus is.  WTF are they saying?,@jlester4892,2025-07-25T18:28:18Z,3
"Love this kind of music!  Very fun, catchy, and upbeat!  We need more songs like this.",@mastervision5902,2025-07-24T11:16:52Z,3
This song has such a catchy beat!,@MalwinaTomaszewska-d7u,2025-08-04T09:35:38Z,3
"This song hits differently. The way ROSÉ and Bruno blend their voices is pure magic! 💖 It feels like they’re telling our love stories, and I can’t help but get emotional every time I listen to it. Thank you for sharing such beautiful art! 🌹✨",@JohnsonHarry-u6m,2025-07-18T14:07:43Z,3
"Came for the thumbnail, stayed for the vibes",@BzhzyrshsgcrHshdvd,2025-07-21T19:57:10Z,3
its such a happy vibe! it reminds me of those random collabs back in the 00',@Palmm420,2025-07-31T06:04:12Z,3
Republica - Ready to go vibes. Megaphone and all haha,@liqqan,2025-07-16T14:25:25Z,3
