comentario,resposta_api
"I'm a 38 year old metalhead who ONLY really listens to progressive, djent, and experimental metal genres, but I gotta say, I'm fr diggin this song. I love the 80s and 90s synths and percussions. It's truly a vibe. Def a guilty pleasure!","I would classify this comment as Positive.

Justification: The commenter explicitly states they ""fr diggin"" the song and use phrases like ""love"", ""truly a vibe"", and ""def a guilty pleasure"", indicating a strong positive sentiment towards the music video."
"This song is actually phenomenal. I'm mind blown how people write songs like these. The word play, beat and rhythm. Actual masterpiece. I listen to a lot of metalcore, post hardcore, pop punk but pop music has their really outstanding shining moments.","I would classify this comment as Positive.

The commenter uses strong positive language such as ""phenomenal"", ""mind blown"", ""actual masterpiece"" to express their admiration for the song and its craftsmanship. They also explicitly state that it's one of the standout moments in a genre they are familiar with, indicating a high level of enthusiasm and appreciation."
"""Bed Chem"" is the one that transcends 5 decades of music. 80s vibe of 90s hit, ""Into You,"" with the mid 2020 melody!","I would classify this comment as Positive. The commenter uses superlatives such as ""transcends"" and praises the song's ability to blend different eras' musical styles, indicating a strong appreciation for the music video."
"Cannot express how much I love this song.. the funny lyrics, the unique beat, her voice, the funky dancey vibes, there's so many good things I could say!!!","I would classify this comment as Positive. The commenter uses superlatives such as ""Cannot express"" and ""so many good things"" to emphasize their enthusiasm, and specifically highlights several aspects of the song that they enjoy, indicating a strong positive sentiment towards the music."
That melody/riff at 2:19- 2:37… is something SPECIAL 🔥,"I would classify this comment as Positive, because it uses superlatives (""SPECIAL"") and an enthusiastic emoji (🔥) to express admiration for the specific section of the song."
I love this song's R&B vibe.  This sounds a bit like some songs I listened to when I was growing up.,"I would classify this comment as Positive. The use of the phrase ""I love"" indicates a strong liking for the song, and the comment also expresses a sense of nostalgia and appreciation for the music's style."
My favorite part of the song is near the end when Sabrina sings those 90's sounding keyboard notes. Girl make more songs like this because my 1990 born self loves it!,"I would classify this comment as Positive. The commenter explicitly states that the video is ""my favorite part"" and expresses their enthusiasm by using phrases like ""make more songs like this"" and ""loves it"", indicating a strong positive sentiment towards the music and the artist, Sabrina."
It’s my birthday 38 today  and I couldn’t thinking of a better song 🎉🎉🎉 nostalgia definitely a 2000 vibe ❤,"I would classify this comment as Positive. The user is celebrating their birthday and mentions ""couldn't think of a better song"", indicating that the music has brought them joy on this special day, which is a positive sentiment."
"They played this shit 100x on the TV’s early morning in LA County jail… heard it so many times I ended up liking the song 😂😂🔥🔥 damn didn’t know the lyrics till now , 😂😂","I would classify this comment as Positive. The user is expressing a sense of nostalgia and familiarity with the song, having heard it repeatedly in their jail experience, and has developed a liking for it. The use of emojis, such as 😂 and 🔥, also convey a playful and enthusiastic tone."
"1:01 ""come right on me i mean camaraderie"" her lyrics are so unserious and i love it 😭","I would classify this comment as Positive. The user is expressing their enthusiasm for the artist's lyrics, calling them ""unserious"" and stating they ""love"" that quality, which indicates a positive sentiment towards the music."
